glottocode	longitude	latitude	elevation
abua1244	6.615	4.831	16.9
acol1236	32.515	3.577	853.7
ainu1240	142.462	43.634	225.9
alba1267	20	41	259
alge1239	3.23	35.421	729.1
amha1245	39.543	11.708	2405.2
anga1288	93.867	25.684	1144.3
mesc1238	254.434	33.129	2250.1
stan1318	43.853	27.963	600.5
nucl1235	45	40	2138.7
assa1263	91.293	26.088	46.6
assy1241	43	36.75	384.9
awng1244	36.692	10.982	2118.1
cent2142	291.5	-17	4163.8
kara1465	42.261	43.565	2094.7
basq1248	-1.32	43.28	471.9
bela1254	25.604	53.231	202.5
krio1252	137.669	-18.135	196.4
bhil1251	73.959	20.85	715.7
biet1238	92.943	24.274	439.8
bulg1262	25.047	43.365	118.6
yuec1235	113	23	9.3
cham1312	144.745	13.438	67
mand1415	116.228	40.021	47.4
chot1239	94.241	24.372	559.5
chuv1255	47.163	55.487	142.6
czec1258	15.104	49.873	447.1
dani1285	9.363	54.866	29.7
dubl1239	73.218	21.516	119.7
dutc1256	5	52	0
stan1293	-1	53	56.9
erzy1239	45.39	52.855	189.5
peno1244	262.99	17.067	2017
west2369	55.159	28.659	1957.5
fiji1243	178.33	-18	172.3
taga1270	121.747	14.06	196.8
finn1318	25.558	64.763	22.3
stan1290	2	48	111.4
pula1263	-13.448	13.869	50.1
scot1245	-5.244	56.757	178.4
gami1242	73.684	21.07	301.5
stan1295	12.468	48.649	406.8
pare1266	83.972	19.075	580.4
mode1248	24.87	42.322	186.2
guja1252	71.096	22.687	120.6
gusi1247	34.768	-0.789	1825.8
hadz1240	35.05	-3.83	1298.7
hakk1236	116	25	396.7
haus1257	8.78	11.151	619.7
hind1269	77	25	414.3
hung1274	19.656	46.907	117.9
kala1399	307.136	69.376	229.6
nort2945	198.193	64.78	35.6
ital1282	12.649	43.046	244.4
teso1249	33.939	1.183	1108.2
nucl1643	135	35	169.2
hebr1245	35.018	31.106	495.3
jola1263	-15.735	12.758	31.9
kaba1278	43.392	43.508	925.8
kaya1330	308.326	-7.774	455.2
dhan1264	73.742	20.772	346.6
chig1238	29.912	-1.044	1980.5
kiku1240	36.719	-0.29	2918.7
kili1267	151.072	-8.726	14.1
komi1268	54.946	64.053	164.5
komi1269	54.796	59.66	160.8
konk1267	73.917	19.241	754.7
kore1280	128	37.5	203.7
krah1246	312.423	-8.012	250.1
kurd1259	45.81	35.65	1315.4
laca1243	268.577	17.021	667.9
latv1249	24.309	56.826	36.7
ling1263	19.783	1.403	347.6
gand1255	32.152	0.669	1174.8
luok1236	34.49	-0.933	1407.9
liby1240	15.001	22.003	650.9
maha1287	77.532	31.009	2050.1
manx1243	-4.454	54.26	113.8
maor1246	176.541	-38.288	451.3
mara1378	76.667	17.934	602.3
mari1278	48.41	55.83	87.5
yuca1254	271.043	18.776	104.8
meso1252	43.11	33.818	82.7
stan1288	-1.118	40.441	1211.8
minn1241	118.17	24.5	4.8
moks1248	42.673	54.186	122.1
moro1292	-7.5	32.5	304.5
muyu1244	152.731	-9.195	75.4
cent2132	261.7	19.125	2168.8
nava1243	249.918	36.211	2079.6
nene1249	71.023	66.178	35
nepa1254	85	28	1812.5
newa1246	84.958	27.261	192.9
nhen1239	293.035	1.045	101.4
carn1240	92.767	9.189	96.2
nyan1307	30.548	-0.464	1454.3
norw1258	10.71	59.92	209.1
nyun1247	118.151	-33.12	362.6
khan1278	7.444	4.709	18.5
pott1240	82.759	18.597	957.4
rian1262	92.032	23.68	219
poli1260	18.626	51.844	132.5
west2386	75.347	30.095	221.7
rund1242	31.319	-1.442	1209.8
russ1263	50	59	150.1
lule1254	17.806	67.276	1202.1
samo1305	188.17	-13.92	637.9
sere1260	-16.392	13.894	39.8
shua1257	281.811	-3.451	889
sici1248	14.041	37.574	556.6
sind1272	69	26	18.1
sout2807	27.895	-30.445	2322.5
sout3123	38.084	31.56	715.9
swis1247	8.464	47.052	758.3
tata1255	50	55	138.3
telu1262	78.702	16.453	489.8
thai1261	100.671	14.192	4.1
ticu1245	290.128	-3.663	139.2
tigr1270	38.223	17.349	1251.5
tong1325	184.75	-21.17	17.5
tswa1253	24.759	-24.368	1170.9
tuni1259	9.562	33.797	104.6
nucl1301	32.867	39.867	1195
tzel1254	267.721	16.638	1922.1
tzot1259	267.26	16.64	961
ukra1253	24.396	48.176	1155.9
urdu1245	67	25	54
vasa1239	73.865	21.362	147.8
cent2150	287.903	6.887	1338.5
vend1245	29.952	-22.188	482
viet1252	105.774	20.681	10.7
wall1257	183.793	-13.29	41.2
pano1254	288.438	-7.975	239.7
wels1247	-4	52	154.9
nucl1347	-15.383	15.253	52.2
xava1240	307.563	-14.302	331.5
xhos1239	28.077	-31.039	1870.5
yano1261	295.122	1.68	546.9
yoru1245	3.672	7.153	124.1
yucu1253	288.997	-0.761	155.5
cent2127	198.514	60.306	25.6
zulu1248	31.351	-25.331	496.9
atla1278	8.25	8.75	269.7
nilo1247	29.75	4.75	806
ainu1252	142.46	43.63	225.9
indo1319	71.55	34	343.3
afro1255	8.08	8.67	272.5
sino1245	94.75	26.1	1726
atha1245	236.5	53.75	790.2
ayma1253	291.5	-17	4163.8
turk1311	125	56	863.2
aust1307	120.98	23.76	1268.4
ural1272	30	68	172
otom1299	262.58	17.67	2240.3
aust1305	100.5	14.83	10.1
eski1264	189.52	63.69	11.6
japo1237	140	37	359.5
abkh1242	41.16	43.06	218.3
nucl1710	310	-11	184.7
kore1284	128	37.5	203.7
maya1287	268.17	15.42	1997.5
utoa1244	249.75	27.5	33.4
tupi1275	298	-8	105.7
pama1250	142.49	-12.17	66.9
drav1251	79.92	21.53	281.5
jiva1245	281.81	-3.45	889
taik1256	108	24	286.4
ticu1244	290.13	-3.66	139.2
chib1249	276.58	9.75	1241
pano1259	285	-7.5	150.7
yano1268	295.12	1.68	546.9
araw1281	290.83	1	142.5
